Channel,Time (s),Voltage (V)
CHANnel1,0.005999999999999998,5.261066
CHANnel1,0.006100000000000001,5.201333
CHANnel1,0.006199999999999997,5.215199
CHANnel1,0.0063,5.114399
CHANnel1,0.006400000000000003,5.137333
CHANnel1,0.006499999999999999,5.086666
CHANnel1,0.006600000000000002,5.100533
CHANnel1,0.006699999999999998,5.132533
CHANnel1,0.0068000000000000005,5.141866
CHANnel1,0.006900000000000003,5.105066
CHANnel1,0.006999999999999999,5.146399
CHANnel1,0.007100000000000002,5.1096
CHANnel1,0.007199999999999998,5.150933
CHANnel1,0.007300000000000001,5.100533
CHANnel1,0.007399999999999997,5.091199
CHANnel1,0.0075,5.1648
CHANnel1,0.007600000000000003,5.155466
CHANnel1,0.0076999999999999985,5.224266
CHANnel1,0.007800000000000001,5.215199
CHANnel1,0.007899999999999997,5.265599
CHANnel1,0.008,5.2336
CHANnel1,0.008100000000000003,5.141866
CHANnel1,0.008199999999999999,5.169333
CHANnel1,0.008300000000000002,5.091199
CHANnel1,0.008399999999999998,5.100533
CHANnel1,0.0085,5.173866
CHANnel1,0.008600000000000003,5.192266
CHANnel1,0.0087,5.150933
CHANnel1,0.008800000000000002,5.169333
CHANnel1,0.008899999999999998,5.210666
CHANnel1,0.009000000000000001,5.219733
CHANnel1,0.009099999999999997,5.160266
CHANnel1,0.0092,5.183199
CHANnel1,0.009300000000000003,5.150933
CHANnel1,0.009399999999999999,5.173866
CHANnel1,0.009500000000000001,5.123466
CHANnel1,0.009599999999999997,5.123466
CHANnel1,0.0097,5.173866
CHANnel1,0.009800000000000003,5.169333
CHANnel1,0.009899999999999999,5.127999
CHANnel1,0.010000000000000002,5.127999
CHANnel1,0.010099999999999998,5.196799
CHANnel1,0.0102,5.169333
CHANnel1,0.010299999999999997,5.219733
CHANnel1,0.0104,5.219733
CHANnel1,0.010500000000000002,5.173866
CHANnel1,0.010599999999999998,5.201333
CHANnel1,0.010700000000000001,5.150933
CHANnel1,0.010799999999999997,5.160266
CHANnel1,0.0109,5.105066
CHANnel1,0.011000000000000003,5.150933
CHANnel1,0.011099999999999999,5.096
CHANnel1,0.011200000000000002,5.118933
CHANnel1,0.011299999999999998,5.196799
CHANnel1,0.0114,5.196799
CHANnel1,0.011500000000000003,5.251999
CHANnel1,0.0116,5.274933
CHANnel1,0.011700000000000002,5.215199
CHANnel1,0.011799999999999998,5.219733
CHANnel1,0.0119,5.127999
CHANnel1,0.011999999999999997,5.150933
CHANnel1,0.0121,5.096
CHANnel1,0.012200000000000003,5.100533
CHANnel1,0.012299999999999998,5.146399
