ConfigNumber,InputState_Heater36,InputState_Heater37,Output1,Output2,Output3,Output4
350,4.9,0.1,2.912,6.502,1.508,2.813
350,4.9,4.9,6.935,3.188,2.494,4.186
352,0.1,0.1,2.527,6.95,5.711,3.353
352,0.1,4.9,5.72,5.501,7.001,1.831
352,4.9,0.1,1.348,3.156,7.06,2.637
352,4.9,4.9,2.394,6.987,4.137,2.7
361,0.1,0.1,2.238,6.959,3.653,3.015
361,0.1,4.9,3.945,6.013,3.739,1.547
361,4.9,0.1,0.9856,3.248,7.001,3.88
361,4.9,4.9,3.054,6.959,1.874,5.632
365,0.1,0.1,7.018,5.766,4.164,1.331
365,0.1,4.9,6.958,5.798,4.268,1.331
365,4.9,0.1,6.972,5.858,1.15,1.853
365,4.9,4.9,6.426,3.718,4.526,3.357
366,0.1,0.1,3.371,1.314,7.033,1.727
366,0.1,4.9,0.6139,3.467,7.074,3.317
366,4.9,0.1,2.467,1.113,7.06,1.06
366,4.9,4.9,2.582,1.109,7.069,1.191
371,0.1,0.1,3.77,5.519,2.159,7.019
371,0.1,4.9,3.27,2.425,2.065,9.42
371,4.9,0.1,2.513,3.179,0.8472,4.38
371,4.9,4.9,1.201,2.827,3.494,5.542
374,0.1,0.1,1.353,6.946,3.101,8.429
374,0.1,4.9,3.321,3.065,0.9016,6.646
374,4.9,0.1,3.88,1.104,3.019,9.456
374,4.9,4.9,3.825,0.5419,0.648,9.434
381,0.1,0.1,4.027,3.901,7.046,3.857
381,0.1,4.9,2.807,2.681,6.2,4.375
381,4.9,0.1,0.9349,4.285,2.159,3.047
381,4.9,4.9,3.431,1.259,1.58,4.56
382,0.1,0.1,1.086,3.865,1.707,0.9253
382,0.1,4.9,3.458,6.379,2.535,1.875
382,4.9,0.1,7.037,2.494,2.503,3.394
382,4.9,4.9,7.014,0.9304,1.205,2.461
384,0.1,0.1,4.981,6.982,2.49,2.051
384,0.1,4.9,1.921,6.941,3.463,4.339
384,4.9,0.1,5.541,2.827,6.924,3.263
384,4.9,4.9,6.908,3.193,5.101,3.245
386,0.1,0.1,4.715,3.38,1.92,3.002
386,0.1,4.9,6.977,1.922,5.485,1.119
386,4.9,0.1,2.339,5.158,6.567,0.9072
386,4.9,4.9,2.431,4.98,2.055,2.313
392,0.1,0.1,4.252,0.9075,7.06,3.398
